file,cetta_wall_s,cetta_rss_kb,cetta_status,petta_wall_s,petta_rss_kb,petta_status
case.metta,0,5428,0,0,16816,0
case2.metta,0,5548,0,0,16352,0
caseconstrain.metta,0,5328,0,0,16288,0
caseempty.metta,0,5548,0,0,16396,0
casenew.metta,0,5444,0,0,16504,0
chain.metta,0,5400,0,0,16632,0
collapse.metta,0,5388,0,0,16592,0
comments.metta,0,5492,0,0,16536,0
constanthead.metta,0,5416,0,0,16580,0
empty.metta,0,5488,0,0,16632,0
eval.metta,0,6512,0,0,16660,0
factorial.metta,0,5840,0,0,16400,0
foldallmatch.metta,0,6356,0,0,16464,0
foldallspacecount.metta,0,6508,0,0,16312,0
functionhead.metta,0,6116,0,0,16400,0
functionhead2.metta,0,5708,0,0,16496,0
functionhead3.metta,0,6196,0,0,16728,0
he_assert.metta,0,6008,0,0,16944,0
identity.metta,0,5628,0,0,16732,0
if.metta,0,5620,0,0,16552,0
if2.metta,0,5504,0,0,16812,0
if3.metta,0,5492,0,0,16784,0
if4.metta,0,5388,0,0,16796,0
ifcasenondet.metta,0,5556,0,0,16400,0
ifsimple.metta,0,5572,0,0,16544,0
invertfunction.metta,0,5972,0,0,16836,0
invertpeanoplus.metta,0,6000,0,0,17072,0
iter.metta,0,5616,0,0,16736,0
let_superpose_if_case.metta,0,5636,0,0,16832,0
letstar.metta,0,5452,0,0,16460,0
library.metta,0,6268,0,0,17052,0
listhead.metta,0,5664,0,0,16392,0
logicprog.metta,0,6044,0,0,16500,0
logicprogset.metta,0,5520,0,0,16488,0
metta4_prog.metta,0,6236,0,0,16784,0
mettaset.metta,0,6412,0,0,16844,0
multicall.metta,0,5560,0,0,16428,0
multiset_operations.metta,0,5612,0,0,16236,0
nestedcons.metta,0,5612,0,0,16616,0
once.metta,0,6408,0,0,16728,0
permutations.metta,7,1291372,0,2,142916,0
recursive_types2.metta,0,5716,0,0,16748,0
repl.metta,0,5576,0,20,2000,124
